B,candidate_idx,sample_idx,d,rank
100,14,14,0.8584404451912031,10
100,15,14,28.75763340320786,28
100,16,14,0.10130624017485965,1
100,17,14,11.332668251384618,24
100,18,14,17.740283146185266,26
100,19,14,0.10404023922461858,2
100,20,14,0.5020578212267066,8
100,21,14,7.937758982349445,21
100,22,14,1.0155691401102007,11
100,23,14,29.312101935619356,29
100,24,14,2.244851920357149,15
100,25,14,8.597608672637833,22
100,26,14,0.34458027815451564,5
100,27,14,0.12077141272205372,4
100,28,14,0.11271973433136198,3
100,29,14,0.5146760551800855,9
100,0,15,1.8801641172855392,14
100,1,15,4.013527837307659,18
100,2,15,0.3804493344083506,6
100,3,15,13.911607895406437,25
100,4,15,1.840774905113038,13
100,5,15,18.005720754337542,26
100,6,15,5.078566432872223,20
100,7,15,0.10274084389343456,3
100,8,15,3.1482435292924347,17
100,9,15,3.107553206284391,16
100,10,15,0.4724176231317373,7
100,11,15,1.2360550847564478,12
100,12,15,4.792828449183839,19
100,13,15,10.347740033061884,24
100,14,15,0.7506225866092735,10
100,15,15,23.79189398875662,28
100,16,15,0.09814923921600294,1
100,17,15,9.531841731155625,23
100,18,15,18.32951662449218,27
100,19,15,0.10003531952108771,2
100,20,15,0.475482246583228,8
100,21,15,6.388862877045643,21
100,22,15,0.9762111958217259,11
100,23,15,27.521627029714942,29
100,24,15,2.1925088474833077,15
100,25,15,8.53566601515323,22
100,26,15,0.3381631992192754,5
100,27,15,0.11081244349353439,4
100,28,15,0.09533919841700328,0
100,29,15,0.5316440897280978,9
100,0,16,2.114387450499111,15
100,1,16,3.8266602467130677,18
100,2,16,0.31236421961731636,5
100,3,16,11.295428015175457,25
100,4,16,1.8415606919242158,14
100,5,16,21.38096241444612,27
100,6,16,5.392412032699967,20
100,7,16,0.11090904340018831,4
100,8,16,2.602000185945604,16
100,9,16,3.595647851259476,17
100,10,16,0.3728063601889791,7
100,11,16,1.3282173387518315,12
100,12,16,4.902024481341035,19
100,13,16,9.319027156978196,23
100,14,16,0.8163179092107519,10
100,15,16,23.813857537684818,28
100,16,16,0.10698466805018042,2
100,17,16,9.200094469702496,22
100,18,16,19.073854214667243,26
100,19,16,0.08568112495561375,1
100,20,16,0.4808785332071683,8
100,21,16,7.446681349961164,21
100,22,16,1.0681724432030748,11
100,23,16,28.44221313160579,29
100,24,16,1.5797394298646803,13
100,25,16,10.979191350963934,24
100,26,16,0.3662514785463756,6
100,27,16,0.10869199833977589,3
100,28,16,0.08135611659834902,0
100,29,16,0.5469387912508801,9
100,0,17,2.087854618841079,14
100,1,17,3.582497479555633,18
100,2,17,0.39350100102418706,6
100,3,17,11.332481925427494,24
100,4,17,1.9964192143489812,13
100,5,17,18.05883191935108,26
100,6,17,6.053655318709477,20
100,7,17,0.12166069361650655,3
100,8,17,3.321717697297855,16
100,9,17,3.451613565268345,17
100,10,17,0.43861030846865656,7
100,11,17,1.1357765304116825,11
100,12,17,4.800123675922022,19
100,13,17,12.193464052069087,25
100,14,17,0.6965896024674173,10
100,15,17,26.03546525314959,28
100,16,17,0.09653710388281093,1
100,17,17,10.877412519714092,23
100,18,17,18.699417381083535,27
100,19,17,0.09472115093978249,0
100,20,17,0.5390053905068597,9
100,21,17,6.680387638011068,21
100,22,17,1.29518536734296,12
100,23,17,34.21993415466483,29
100,24,17,2.228251795029742,15
100,25,17,8.86011570468597,22
100,26,17,0.3642583712941393,5
100,27,17,0.11777908137586121,2
100,28,17,0.12943069907516713,4
100,29,17,0.530686445942995,8
100,0,18,2.0464318414283085,14
100,1,18,3.2159615770979757,17
100,2,18,0.4312236280876319,6
100,3,18,12.144574729200777,25
100,4,18,1.726764943223732,13
100,5,18,20.871290865426513,27
100,6,18,7.906623786848957,21
100,7,18,0.11699867065028838,4
100,8,18,3.1439542372821476,16
100,9,18,3.307655213403541,18
100,10,18,0.4906561257371841,8
100,11,18,1.1156276703882821,12
100,12,18,4.817986428812017,19
100,13,18,11.107499934338584,23
100,14,18,0.6536068162857773,10
100,15,18,24.253535158705986,28
