Load the parameters from the folder
Found 3 layers in /home/simon/repos/onnxmlir-pim-sparsify/artifacts/e13_obd
Accuracy in validation: 0.9160
Total parameters: 2160
Perturbation distance (sanity check): 1.7152e+00
Starting OBD sparsification loop
step  200 | acc=0.9170 | NZ=  1960 | sparsity=0.0926 | d_m=4.2812e-02
step  201 | acc=0.9170 | NZ=  1959 | sparsity=0.0931 | d_m=4.2650e-02
step  202 | acc=0.9170 | NZ=  1958 | sparsity=0.0935 | d_m=4.2475e-02
step  203 | acc=0.9170 | NZ=  1957 | sparsity=0.0940 | d_m=4.2302e-02
step  204 | acc=0.9170 | NZ=  1956 | sparsity=0.0944 | d_m=4.2128e-02
step  205 | acc=0.9170 | NZ=  1955 | sparsity=0.0949 | d_m=4.1960e-02
step  206 | acc=0.9170 | NZ=  1954 | sparsity=0.0954 | d_m=4.1793e-02
step  207 | acc=0.9170 | NZ=  1953 | sparsity=0.0958 | d_m=4.1628e-02
step  208 | acc=0.9170 | NZ=  1952 | sparsity=0.0963 | d_m=4.1454e-02
step  209 | acc=0.9170 | NZ=  1951 | sparsity=0.0968 | d_m=4.1289e-02
step  210 | acc=0.9170 | NZ=  1950 | sparsity=0.0972 | d_m=4.1116e-02
step  211 | acc=0.9170 | NZ=  1949 | sparsity=0.0977 | d_m=4.0958e-02
step  212 | acc=0.9170 | NZ=  1948 | sparsity=0.0981 | d_m=4.0800e-02
step  213 | acc=0.9170 | NZ=  1947 | sparsity=0.0986 | d_m=4.2042e-02
step  214 | acc=0.9170 | NZ=  1946 | sparsity=0.0991 | d_m=4.2958e-02
step  215 | acc=0.9170 | NZ=  1945 | sparsity=0.0995 | d_m=4.3250e-02
step  216 | acc=0.9170 | NZ=  1944 | sparsity=0.1000 | d_m=4.3954e-02
step  217 | acc=0.9170 | NZ=  1943 | sparsity=0.1005 | d_m=4.6021e-02
step  218 | acc=0.9170 | NZ=  1942 | sparsity=0.1009 | d_m=4.8227e-02
step  219 | acc=0.9170 | NZ=  1941 | sparsity=0.1014 | d_m=4.8624e-02
step  220 | acc=0.9170 | NZ=  1940 | sparsity=0.1019 | d_m=5.1688e-02
step  221 | acc=0.9170 | NZ=  1939 | sparsity=0.1023 | d_m=5.6032e-02
step  222 | acc=0.9170 | NZ=  1938 | sparsity=0.1028 | d_m=5.1060e-02
step  223 | acc=0.9170 | NZ=  1937 | sparsity=0.1032 | d_m=5.6269e-02
step  224 | acc=0.9170 | NZ=  1936 | sparsity=0.1037 | d_m=5.9664e-02
step  225 | acc=0.9170 | NZ=  1935 | sparsity=0.1042 | d_m=6.6715e-02
step  226 | acc=0.9170 | NZ=  1934 | sparsity=0.1046 | d_m=7.5605e-02
step  227 | acc=0.9170 | NZ=  1933 | sparsity=0.1051 | d_m=9.6072e-02
step  228 | acc=0.9170 | NZ=  1932 | sparsity=0.1056 | d_m=1.0389e-01
step  229 | acc=0.9180 | NZ=  1931 | sparsity=0.1060 | d_m=1.3052e-01
step  230 | acc=0.9170 | NZ=  1930 | sparsity=0.1065 | d_m=1.5007e-01
step  231 | acc=0.9170 | NZ=  1929 | sparsity=0.1069 | d_m=1.5749e-01
step  232 | acc=0.9180 | NZ=  1928 | sparsity=0.1074 | d_m=1.7866e-01
step  233 | acc=0.9180 | NZ=  1927 | sparsity=0.1079 | d_m=1.9633e-01
step  234 | acc=0.9180 | NZ=  1926 | sparsity=0.1083 | d_m=2.2156e-01
step  235 | acc=0.9180 | NZ=  1925 | sparsity=0.1088 | d_m=2.3720e-01
step  236 | acc=0.9180 | NZ=  1924 | sparsity=0.1093 | d_m=2.6531e-01
step  237 | acc=0.9180 | NZ=  1923 | sparsity=0.1097 | d_m=2.5502e-01
step  238 | acc=0.9180 | NZ=  1922 | sparsity=0.1102 | d_m=2.8606e-01
