Load the parameters from the folder
Found 3 layers in /home/simon/repos/onnxmlir-pim-sparsify/artifacts/e15_magnitude_full
Accuracy in validation: 0.9160
Total parameters: 2160
Perturbation distance (sanity check): 1.0889e+00
Starting magnitude sparsification loop
step  206 | acc=0.9170 | NZ=  1954 | sparsity=0.0954 | d_m=6.3973e+01
step  207 | acc=0.9170 | NZ=  1953 | sparsity=0.0958 | d_m=6.1471e+01
step  208 | acc=0.9170 | NZ=  1952 | sparsity=0.0963 | d_m=7.2864e+01
step  209 | acc=0.9170 | NZ=  1951 | sparsity=0.0968 | d_m=7.1276e+01
step  210 | acc=0.9160 | NZ=  1950 | sparsity=0.0972 | d_m=6.6749e+01
step  211 | acc=0.9170 | NZ=  1949 | sparsity=0.0977 | d_m=6.5663e+01
step  212 | acc=0.9160 | NZ=  1948 | sparsity=0.0981 | d_m=6.6356e+01
step  213 | acc=0.9160 | NZ=  1947 | sparsity=0.0986 | d_m=7.2250e+01
step  214 | acc=0.9160 | NZ=  1946 | sparsity=0.0991 | d_m=8.2914e+01
step  215 | acc=0.9160 | NZ=  1945 | sparsity=0.0995 | d_m=7.5353e+01
step  216 | acc=0.9170 | NZ=  1944 | sparsity=0.1000 | d_m=7.3886e+01
step  217 | acc=0.9170 | NZ=  1943 | sparsity=0.1005 | d_m=7.9836e+01
step  218 | acc=0.9160 | NZ=  1942 | sparsity=0.1009 | d_m=8.3917e+01
step  219 | acc=0.9170 | NZ=  1941 | sparsity=0.1014 | d_m=8.3767e+01
step  220 | acc=0.9170 | NZ=  1940 | sparsity=0.1019 | d_m=8.2359e+01
step  221 | acc=0.9170 | NZ=  1939 | sparsity=0.1023 | d_m=7.8247e+01
step  222 | acc=0.9170 | NZ=  1938 | sparsity=0.1028 | d_m=8.1058e+01
step  223 | acc=0.9170 | NZ=  1937 | sparsity=0.1032 | d_m=7.8520e+01
step  224 | acc=0.9170 | NZ=  1936 | sparsity=0.1037 | d_m=8.0573e+01
step  225 | acc=0.9170 | NZ=  1935 | sparsity=0.1042 | d_m=8.9276e+01
step  226 | acc=0.9170 | NZ=  1934 | sparsity=0.1046 | d_m=8.5123e+01
step  227 | acc=0.9170 | NZ=  1933 | sparsity=0.1051 | d_m=8.7571e+01
step  228 | acc=0.9170 | NZ=  1932 | sparsity=0.1056 | d_m=9.1431e+01
step  229 | acc=0.9170 | NZ=  1931 | sparsity=0.1060 | d_m=8.6813e+01
step  230 | acc=0.9170 | NZ=  1930 | sparsity=0.1065 | d_m=8.3660e+01
step  231 | acc=0.9170 | NZ=  1929 | sparsity=0.1069 | d_m=8.7289e+01
step  232 | acc=0.9180 | NZ=  1928 | sparsity=0.1074 | d_m=8.6553e+01
step  233 | acc=0.9180 | NZ=  1927 | sparsity=0.1079 | d_m=8.6559e+01
step  234 | acc=0.9180 | NZ=  1926 | sparsity=0.1083 | d_m=8.5919e+01
step  235 | acc=0.9180 | NZ=  1925 | sparsity=0.1088 | d_m=8.2509e+01
step  236 | acc=0.9170 | NZ=  1924 | sparsity=0.1093 | d_m=8.6849e+01
step  237 | acc=0.9170 | NZ=  1923 | sparsity=0.1097 | d_m=9.4589e+01
step  238 | acc=0.9180 | NZ=  1922 | sparsity=0.1102 | d_m=9.6270e+01
step  239 | acc=0.9180 | NZ=  1921 | sparsity=0.1106 | d_m=9.2561e+01
step  240 | acc=0.9180 | NZ=  1920 | sparsity=0.1111 | d_m=1.1472e+02
step  241 | acc=0.9180 | NZ=  1919 | sparsity=0.1116 | d_m=1.1746e+02
step  242 | acc=0.9170 | NZ=  1918 | sparsity=0.1120 | d_m=1.1439e+02
step  243 | acc=0.9180 | NZ=  1917 | sparsity=0.1125 | d_m=1.1519e+02
step  244 | acc=0.9190 | NZ=  1916 | sparsity=0.1130 | d_m=1.0788e+02
step  245 | acc=0.9190 | NZ=  1915 | sparsity=0.1134 | d_m=1.0411e+02
step  246 | acc=0.9190 | NZ=  1914 | sparsity=0.1139 | d_m=1.0259e+02
step  247 | acc=0.9190 | NZ=  1913 | sparsity=0.1144 | d_m=1.0636e+02
step  248 | acc=0.9190 | NZ=  1912 | sparsity=0.1148 | d_m=1.1113e+02
step  249 | acc=0.9170 | NZ=  1911 | sparsity=0.1153 | d_m=1.1599e+02
step  250 | acc=0.9180 | NZ=  1910 | sparsity=0.1157 | d_m=1.1777e+02
step  251 | acc=0.9180 | NZ=  1909 | sparsity=0.1162 | d_m=1.2343e+02
step  252 | acc=0.9170 | NZ=  1908 | sparsity=0.1167 | d_m=1.3869e+02
step  253 | acc=0.9170 | NZ=  1907 | sparsity=0.1171 | d_m=1.3909e+02
step  254 | acc=0.9180 | NZ=  1906 | sparsity=0.1176 | d_m=1.4000e+02
step  255 | acc=0.9180 | NZ=  1905 | sparsity=0.1181 | d_m=1.3780e+02
step  256 | acc=0.9180 | NZ=  1904 | sparsity=0.1185 | d_m=1.3959e+02
step  257 | acc=0.9170 | NZ=  1903 | sparsity=0.1190 | d_m=1.3655e+02
step  258 | acc=0.9170 | NZ=  1902 | sparsity=0.1194 | d_m=1.4042e+02
step  259 | acc=0.9170 | NZ=  1901 | sparsity=0.1199 | d_m=1.4189e+02
step  260 | acc=0.9170 | NZ=  1900 | sparsity=0.1204 | d_m=1.4244e+02
step  261 | acc=0.9170 | NZ=  1899 | sparsity=0.1208 | d_m=1.4408e+02
step  262 | acc=0.9170 | NZ=  1898 | sparsity=0.1213 | d_m=1.4263e+02
step  263 | acc=0.9170 | NZ=  1897 | sparsity=0.1218 | d_m=1.4671e+02
step  264 | acc=0.9180 | NZ=  1896 | sparsity=0.1222 | d_m=1.5345e+02
step  265 | acc=0.9180 | NZ=  1895 | sparsity=0.1227 | d_m=1.4953e+02
step  266 | acc=0.9180 | NZ=  1894 | sparsity=0.1231 | d_m=1.4261e+02
step  267 | acc=0.9180 | NZ=  1893 | sparsity=0.1236 | d_m=1.4556e+02
step  268 | acc=0.9180 | NZ=  1892 | sparsity=0.1241 | d_m=1.6026e+02
step  269 | acc=0.9180 | NZ=  1891 | sparsity=0.1245 | d_m=1.7102e+02
step  270 | acc=0.9180 | NZ=  1890 | sparsity=0.1250 | d_m=1.7617e+02
step  271 | acc=0.9180 | NZ=  1889 | sparsity=0.1255 | d_m=1.6186e+02
step  272 | acc=0.9180 | NZ=  1888 | sparsity=0.1259 | d_m=1.5425e+02
step  273 | acc=0.9180 | NZ=  1887 | sparsity=0.1264 | d_m=1.4963e+02
step  274 | acc=0.9170 | NZ=  1886 | sparsity=0.1269 | d_m=1.5622e+02
step  275 | acc=0.9180 | NZ=  1885 | sparsity=0.1273 | d_m=1.5649e+02
step  276 | acc=0.9180 | NZ=  1884 | sparsity=0.1278 | d_m=1.5745e+02
step  277 | acc=0.9180 | NZ=  1883 | sparsity=0.1282 | d_m=1.5207e+02
step  278 | acc=0.9180 | NZ=  1882 | sparsity=0.1287 | d_m=1.5191e+02
step  279 | acc=0.9180 | NZ=  1881 | sparsity=0.1292 | d_m=1.6040e+02
step  280 | acc=0.9170 | NZ=  1880 | sparsity=0.1296 | d_m=1.6364e+02
step  281 | acc=0.9170 | NZ=  1879 | sparsity=0.1301 | d_m=1.5664e+02
step  282 | acc=0.9170 | NZ=  1878 | sparsity=0.1306 | d_m=1.5717e+02
step  283 | acc=0.9170 | NZ=  1877 | sparsity=0.1310 | d_m=1.5696e+02
step  284 | acc=0.9170 | NZ=  1876 | sparsity=0.1315 | d_m=1.5675e+02
step  285 | acc=0.9170 | NZ=  1875 | sparsity=0.1319 | d_m=1.6395e+02
step  286 | acc=0.9170 | NZ=  1874 | sparsity=0.1324 | d_m=1.6281e+02
step  287 | acc=0.9170 | NZ=  1873 | sparsity=0.1329 | d_m=1.6071e+02
step  288 | acc=0.9170 | NZ=  1872 | sparsity=0.1333 | d_m=1.6394e+02
step  289 | acc=0.9170 | NZ=  1871 | sparsity=0.1338 | d_m=1.7621e+02
step  290 | acc=0.9170 | NZ=  1870 | sparsity=0.1343 | d_m=1.7025e+02
step  291 | acc=0.9180 | NZ=  1869 | sparsity=0.1347 | d_m=1.7424e+02
step  292 | acc=0.9180 | NZ=  1868 | sparsity=0.1352 | d_m=1.7814e+02
