step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
257,1903,2160,0.118981,0.918,1.362204e-01,7.277917e-03,2.6949,0,1,97,1742,80,80
258,1902,2160,0.119444,0.918,1.395548e-01,4.841906e-04,2.6115,0,0,68,1741,80,80
259,1901,2160,0.119907,0.917,1.421481e-01,8.608519e-02,2.6086,0,2,99,1740,80,80
260,1900,2160,0.12037,0.918,1.753832e-01,3.910971e-03,2.5832,0,6,87,1739,80,80
261,1899,2160,0.120833,0.918,1.756769e-01,6.477110e-03,2.5757,0,6,162,1738,80,80
262,1898,2160,0.121296,0.918,1.758390e-01,3.111525e-02,2.5871,2,2,3,1738,80,79
263,1897,2160,0.121759,0.917,1.977124e-01,9.269177e-03,2.5818,0,3,92,1737,80,79
264,1896,2160,0.122222,0.917,1.960304e-01,8.201229e-03,2.5794,0,4,67,1736,80,79
265,1895,2160,0.122685,0.918,1.969341e-01,1.385854e-02,2.5976,2,3,6,1736,80,78
266,1894,2160,0.123148,0.918,2.177252e-01,1.269694e-02,2.5921,0,9,95,1735,80,78
267,1893,2160,0.123611,0.918,2.263716e-01,5.751058e-03,2.6096,0,3,143,1734,80,78
