step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ
179,1881,2060,0.086893,0.923,1.577228e+02,1.129399e-02,0.214,3.0098,0,2,100,1790,90
180,1880,2060,0.087379,0.924,1.562867e+02,8.654247e-03,0.2075,3.0019,0,2,183,1789,90
181,1879,2060,0.087864,0.923,1.547407e+02,9.509886e-04,0.2053,3.0121,0,9,176,1788,90
182,1878,2060,0.08835,0.923,1.563696e+02,7.770557e-04,0.2047,3.0084,0,7,189,1787,90
183,1877,2060,0.088835,0.923,1.582626e+02,3.452805e-03,0.2157,2.9948,0,5,33,1786,90
184,1876,2060,0.08932,0.923,1.599004e+02,1.520930e-03,0.2146,3.0063,0,0,192,1785,90
185,1875,2060,0.089806,0.923,1.626812e+02,3.144561e-03,0.2082,2.9963,0,5,55,1784,90
186,1874,2060,0.090291,0.923,1.657829e+02,3.202757e-03,0.2092,2.9985,0,5,28,1783,90
187,1873,2060,0.090777,0.923,1.680743e+02,1.502078e-03,0.2149,3.0011,0,8,193,1782,90
188,1872,2060,0.091262,0.923,1.711192e+02,1.144427e-03,0.2059,3.0018,0,6,137,1781,90
189,1871,2060,0.091748,0.923,1.735167e+02,1.556177e-03,0.1973,3.001,0,0,131,1780,90
190,1870,2060,0.092233,0.923,1.757989e+02,1.532190e-03,0.2072,3.011,0,8,28,1779,90
191,1869,2060,0.092718,0.923,1.785692e+02,3.579366e-03,0.2017,3.002,0,5,111,1778,90
192,1868,2060,0.093204,0.922,1.816717e+02,1.060177e-03,0.215,3.0121,0,9,153,1777,90
193,1867,2060,0.093689,0.922,1.835632e+02,3.699063e-03,0.2105,3.0037,0,5,167,1776,90
194,1866,2060,0.094175,0.922,1.858709e+02,8.667739e-04,0.2058,2.9929,0,7,76,1775,90
195,1865,2060,0.09466,0.922,1.878040e+02,7.753895e-03,0.2083,2.9971,0,2,113,1774,90
196,1864,2060,0.095146,0.922,1.920678e+02,8.716296e-03,0.207,3.0059,0,2,127,1773,90
197,1863,2060,0.095631,0.922,1.958380e+02,8.294351e-03,0.2033,3.0115,0,2,166,1772,90
198,1862,2060,0.096117,0.922,1.999741e+02,9.356217e-03,0.2075,2.9931,0,2,187,1771,90
199,1861,2060,0.096602,0.922,2.063293e+02,1.010743e-02,0.2051,2.997,0,2,0,1770,90
200,1860,2060,0.097087,0.922,2.070031e+02,9.371208e-03,0.2025,2.9996,0,2,8,1769,90
201,1859,2060,0.097573,0.922,2.117669e+02,1.048978e-02,0.2035,2.9962,0,2,171,1768,90
202,1858,2060,0.098058,0.922,2.111288e+02,1.024299e-02,0.2072,3.0052,0,2,124,1767,90
203,1857,2060,0.098544,0.922,2.155684e+02,1.302753e-02,0.2103,3.0065,0,2,59,1766,90
204,1856,2060,0.099029,0.922,2.155898e+02,1.225640e-02,0.2112,3.0032,0,2,104,1765,90
205,1855,2060,0.099515,0.924,2.143438e+02,1.363847e-02,0.2159,2.9946,0,2,108,1764,90
206,1854,2060,0.1,0.923,2.114549e+02,1.101463e-02,0.206,3.0122,0,2,188,1763,90
207,1853,2060,0.100485,0.923,2.170618e+02,1.315589e-02,0.2008,3.0067,0,2,126,1762,90
208,1852,2060,0.100971,0.923,2.126258e+02,1.097094e-03,0.2029,2.997,0,9,100,1761,90
209,1851,2060,0.101456,0.923,2.143303e+02,7.241785e-04,0.2056,3.0027,0,4,48,1760,90
210,1850,2060,0.101942,0.923,2.177536e+02,1.369311e-03,0.2063,3.0025,0,3,192,1759,90
211,1849,2060,0.102427,0.923,2.204011e+02,3.672578e-03,0.1986,3.0129,0,5,40,1758,90
